anaerobe_abundance,strict_anaerobe_abundance,oral_anaerobe_abundance
0.723868,0.033192,0.033192
0.418785,0.066385,0.066385
0.99011,0.080507,0.075564
0.968222,0.07486,0.067798
0.990818,0.160308,0.153247
0.994347,0.014829,0.014123
0.149011,0.132768,0.132768
0.33969,0.08404,0.08404
0.165959,0.033897,0.031073
0.526126,0.131354,0.12288
0.985168,0.152541,0.149011
0.985873,0.016947,0.014829
0.924429,0.36723,0.35805
0.911014,0.463274,0.41949
0.966808,0.237288,0.198445
0.993643,0.088983,0.081921
0.9661,0.370056,0.36935
0.991521,0.026128,0.025422
0.406777,0.331212,0.281073
0.641948,0.005649,0.002824
0.315676,0.172315,0.147598
0.377825,0.166667,0.164548
0.958331,0.495055,0.492937
0.242935,0.104518,0.092513
0.416664,0.108756,0.1024
0.76271,0.32627,0.306496
0.945617,0.092511,0.07415
0.946326,0.057202,0.053671
0.874994,0.40395,0.355929
0.837566,0.272595,0.247878
0.615817,0.194914,0.180084
0.552258,0.088982,0.079095
0.887003,0.175139,0.161722
0.872875,0.331918,0.307201
0.647598,0.033898,0.027542
0.360168,0.098164,0.079096
0.85522,0.267651,0.25141
0.581212,0.228102,0.184319
0.449854,0.244347,0.213982
0.555789,0.221749,0.193501
0.886295,0.115111,0.104518
0.330508,0.001412,0.001412
0.617229,0.100986,0.087569
0.913132,0.309321,0.202683
0.349576,0.025424,0.021186
0.754941,0.034603,0.028954
0.704094,0.403248,0.329096
0.706918,0.254236,0.187146
